RIR,RPE,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,10,1,0.955,0.922,0.892,0.863,0.837,0.811,0.786,0.762,0.739,0.707,0.68,0.653,0.626,0.599,0.584,0.57,0.557,0.544,0.532
0.5,9.5,0.9775,0.9385,0.907,0.8775,0.85,0.824,0.7985,0.774,0.7505,0.723,0.6935,0.6665,0.6395,0.6125,0.5915,0.577,0.5635,0.5505,0.538,0.526
1,9,0.955,0.922,0.892,0.863,0.837,0.811,0.786,0.762,0.739,0.707,0.68,0.653,0.626,0.599,0.584,0.57,0.557,0.544,0.532,0.52
1.5,8.5,0.9385,0.907,0.8775,0.85,0.824,0.7985,0.774,0.7505,0.723,0.6935,0.6665,0.6395,0.6125,0.5915,0.577,0.5635,0.5505,0.538,0.526,0.5145
2,8,0.922,0.892,0.863,0.837,0.811,0.786,0.762,0.739,0.707,0.68,0.653,0.626,0.599,0.584,0.57,0.557,0.544,0.532,0.52,0.509
2.5,7.5,0.907,0.8775,0.85,0.824,0.7985,0.774,0.7505,0.723,0.6935,0.6665,0.6395,0.6125,0.5915,0.577,0.5635,0.5505,0.538,0.526,0.5145,0.5035
3,7,0.892,0.863,0.837,0.811,0.786,0.762,0.739,0.707,0.68,0.653,0.626,0.599,0.584,0.57,0.557,0.544,0.532,0.52,0.509,0.498
3.5,6.5,0.8775,0.85,0.824,0.7985,0.774,0.7505,0.723,0.6935,0.6665,0.6395,0.6125,0.5915,0.577,0.5635,0.5505,0.538,0.526,0.5145,0.5035,0.493
4,6,0.863,0.837,0.811,0.786,0.762,0.739,0.707,0.68,0.653,0.626,0.599,0.584,0.57,0.557,0.544,0.532,0.52,0.509,0.498,0.488
4.5,5.5,0.85,0.824,0.7985,0.774,0.7505,0.723,0.6935,0.6665,0.6395,0.6125,0.5915,0.577,0.5635,0.5505,0.538,0.526,0.5145,0.5035,0.493,0.4825
5,5,0.837,0.811,0.786,0.762,0.739,0.707,0.68,0.653,0.626,0.599,0.584,0.57,0.557,0.544,0.532,0.52,0.509,0.498,0.488,0.477
5.5,4.5,0.824,0.7985,0.774,0.7505,0.723,0.6935,0.6665,0.6395,0.6125,0.5915,0.577,0.5635,0.5505,0.538,0.526,0.5145,0.5035,0.493,0.4825,0.4725
6,4,0.811,0.786,0.762,0.739,0.707,0.68,0.653,0.626,0.599,0.584,0.57,0.557,0.544,0.532,0.52,0.509,0.498,0.488,0.477,0.468
6.5,3.5,0.7985,0.774,0.7505,0.723,0.6935,0.6665,0.6395,0.6125,0.5915,0.577,0.5635,0.5505,0.538,0.526,0.5145,0.5035,0.493,0.4825,0.4725,0.463
7,3,0.786,0.762,0.739,0.707,0.68,0.653,0.626,0.599,0.584,0.57,0.557,0.544,0.532,0.52,0.509,0.498,0.488,0.477,0.468,0.458
7.5,2.5,0.774,0.7505,0.723,0.6935,0.6665,0.6395,0.6125,0.5915,0.577,0.5635,0.5505,0.538,0.526,0.5145,0.5035,0.493,0.4825,0.4725,0.463,0.4535
8,2,0.762,0.739,0.707,0.68,0.653,0.626,0.599,0.584,0.57,0.557,0.544,0.532,0.52,0.509,0.498,0.488,0.477,0.468,0.458,0.449
8.5,1.5,0.7505,0.723,0.6935,0.6665,0.6395,0.6125,0.5915,0.577,0.5635,0.5505,0.538,0.526,0.5145,0.5035,0.493,0.4825,0.4725,0.463,0.4535,0.4445
9,1,0.739,0.707,0.68,0.653,0.626,0.599,0.584,0.57,0.557,0.544,0.532,0.52,0.509,0.498,0.488,0.477,0.468,0.458,0.449,0.44
9.5,0.5,0.723,0.6935,0.6665,0.6395,0.6125,0.5915,0.577,0.5635,0.5505,0.538,0.526,0.5145,0.5035,0.493,0.4825,0.4725,0.463,0.4535,0.4445,0.436
10,0,0.707,0.68,0.653,0.626,0.599,0.584,0.57,0.557,0.544,0.532,0.52,0.509,0.498,0.488,0.477,0.468,0.458,0.449,0.44,0.432